DATE,GS5
2011-10-01,1.06
2011-11-01,0.91
2011-12-01,0.89
2012-01-01,0.84
2012-02-01,0.83
2012-03-01,1.02
2012-04-01,0.89
2012-05-01,0.76
2012-06-01,0.71
2012-07-01,0.62
2012-08-01,0.71
2012-09-01,0.67
2012-10-01,0.71
2012-11-01,0.67
2012-12-01,0.70
2013-01-01,0.81
2013-02-01,0.85
2013-03-01,0.82
2013-04-01,0.71
2013-05-01,0.84
2013-06-01,1.20
2013-07-01,1.40
2013-08-01,1.52
2013-09-01,1.60
2013-10-01,1.37
2013-11-01,1.37
2013-12-01,1.58
2014-01-01,1.65
2014-02-01,1.52
2014-03-01,1.64
2014-04-01,1.70
2014-05-01,1.59
2014-06-01,1.68
2014-07-01,1.70
2014-08-01,1.63
2014-09-01,1.77
2014-10-01,1.55
2014-11-01,1.62
2014-12-01,1.64
2015-01-01,1.37
2015-02-01,1.47
2015-03-01,1.52
2015-04-01,1.35
2015-05-01,1.54
2015-06-01,1.68
2015-07-01,1.63
2015-08-01,1.54
2015-09-01,1.49
2015-10-01,1.39
2015-11-01,1.67
2015-12-01,1.70
2016-01-01,1.52
2016-02-01,1.22
2016-03-01,1.38
2016-04-01,1.26
2016-05-01,1.30
2016-06-01,1.17
2016-07-01,1.07
2016-08-01,1.13
2016-09-01,1.18
2016-10-01,1.27
2016-11-01,1.60
2016-12-01,1.96
2017-01-01,1.92
2017-02-01,1.90
2017-03-01,2.01
2017-04-01,1.82
2017-05-01,1.84
2017-06-01,1.77
2017-07-01,1.87
2017-08-01,1.78
2017-09-01,1.80
2017-10-01,1.98
2017-11-01,2.05
2017-12-01,2.18
2018-01-01,2.38
2018-02-01,2.60
2018-03-01,2.63
2018-04-01,2.70
2018-05-01,2.82
2018-06-01,2.78
2018-07-01,2.78
2018-08-01,2.77
2018-09-01,2.89
2018-10-01,3.00
2018-11-01,2.95
2018-12-01,2.68
2019-01-01,2.54
2019-02-01,2.49
2019-03-01,2.37
2019-04-01,2.33
2019-05-01,2.19
2019-06-01,1.83
2019-07-01,1.83
2019-08-01,1.49
2019-09-01,1.57
2019-10-01,1.53
2019-11-01,1.64
2019-12-01,1.68
2020-01-01,1.56
2020-02-01,1.32
2020-03-01,0.59
2020-04-01,0.39
2020-05-01,0.34
2020-06-01,0.34
2020-07-01,0.28
2020-08-01,0.27
2020-09-01,0.27
2020-10-01,0.34
2020-11-01,0.39
2020-12-01,0.39
2021-01-01,0.45
2021-02-01,0.54
2021-03-01,0.82
2021-04-01,0.86
2021-05-01,0.82
2021-06-01,0.84
2021-07-01,0.76
2021-08-01,0.77
2021-09-01,0.86
2021-10-01,1.11
