DATE,M1SL
2011-09-01,2120.0
2011-10-01,2128.5
2011-11-01,2182.0
2011-12-01,2165.7
2012-01-01,2197.6
2012-02-01,2209.8
2012-03-01,2232.4
2012-04-01,2244.2
2012-05-01,2260.3
2012-06-01,2281.7
2012-07-01,2313.6
2012-08-01,2350.9
2012-09-01,2382.4
2012-10-01,2415.2
2012-11-01,2435.9
2012-12-01,2459.4
2013-01-01,2471.6
2013-02-01,2474.0
2013-03-01,2482.1
2013-04-01,2513.2
2013-05-01,2531.9
2013-06-01,2532.6
2013-07-01,2541.8
2013-08-01,2553.7
2013-09-01,2581.1
2013-10-01,2620.0
2013-11-01,2630.5
2013-12-01,2662.9
2014-01-01,2696.6
2014-02-01,2728.4
2014-03-01,2755.1
2014-04-01,2777.7
2014-05-01,2794.3
2014-06-01,2829.5
2014-07-01,2840.0
2014-08-01,2803.6
2014-09-01,2861.4
2014-10-01,2868.3
2014-11-01,2886.3
2014-12-01,2939.4
2015-01-01,2941.0
2015-02-01,3009.3
2015-03-01,3002.2
2015-04-01,3001.4
2015-05-01,2983.7
2015-06-01,3020.5
2015-07-01,3038.0
2015-08-01,3028.4
2015-09-01,3043.0
2015-10-01,3017.0
2015-11-01,3081.2
2015-12-01,3096.3
2016-01-01,3099.9
2016-02-01,3133.4
2016-03-01,3157.2
2016-04-01,3199.2
2016-05-01,3237.3
2016-06-01,3244.1
2016-07-01,3242.5
2016-08-01,3315.7
2016-09-01,3322.6
2016-10-01,3330.3
2016-11-01,3354.7
2016-12-01,3345.4
2017-01-01,3398.2
2017-02-01,3411.3
2017-03-01,3456.2
2017-04-01,3450.1
2017-05-01,3512.8
2017-06-01,3520.9
2017-07-01,3541.8
2017-08-01,3580.3
2017-09-01,3563.4
2017-10-01,3601.2
2017-11-01,3631.9
2017-12-01,3618.9
2018-01-01,3668.4
2018-02-01,3633.9
2018-03-01,3672.5
2018-04-01,3653.6
2018-05-01,3646.2
2018-06-01,3644.7
2018-07-01,3669.2
2018-08-01,3682.7
2018-09-01,3692.3
2018-10-01,3721.5
2018-11-01,3708.4
2018-12-01,3771.2
2019-01-01,3772.9
2019-02-01,3783.4
2019-03-01,3746.4
2019-04-01,3770.6
2019-05-01,3775.4
2019-06-01,3813.4
2019-07-01,3844.8
2019-08-01,3844.0
2019-09-01,3887.7
2019-10-01,3926.1
2019-11-01,3955.6
2019-12-01,4011.2
2020-01-01,4019.2
2020-02-01,4028.4
2020-03-01,4281.3
2020-04-01,4774.4
2020-05-01,16262.0
2020-06-01,16583.8
2020-07-01,16773.8
2020-08-01,16887.0
2020-09-01,17156.8
2020-10-01,17346.8
2020-11-01,17589.1
2020-12-01,17812.4
2021-01-01,18100.8
2021-02-01,18389.6
2021-03-01,18669.3
2021-04-01,18917.7
2021-05-01,19197.1
2021-06-01,19243.8
2021-07-01,19407.5
2021-08-01,19682.4
2021-09-01,19862.2
