DATE,PCEC96
2011-09-01,10922.8
2011-10-01,10942.5
2011-11-01,10924.1
2011-12-01,10929.0
2012-01-01,10971.2
2012-02-01,11037.6
2012-03-01,11023.2
2012-04-01,11033.4
2012-05-01,11034.1
2012-06-01,11022.6
2012-07-01,11045.7
2012-08-01,11047.9
2012-09-01,11063.5
2012-10-01,11062.7
2012-11-01,11110.9
2012-12-01,11115.5
2013-01-01,11158.1
2013-02-01,11153.4
2013-03-01,11155.0
2013-04-01,11154.2
2013-05-01,11182.3
2013-06-01,11181.4
2013-07-01,11195.4
2013-08-01,11207.9
2013-09-01,11239.9
2013-10-01,11271.4
2013-11-01,11318.7
2013-12-01,11322.9
2014-01-01,11287.0
2014-02-01,11350.3
2014-03-01,11405.6
2014-04-01,11424.5
2014-05-01,11444.9
2014-06-01,11489.7
2014-07-01,11512.3
2014-08-01,11590.9
2014-09-01,11593.8
2014-10-01,11665.2
2014-11-01,11696.3
2014-12-01,11723.2
2015-01-01,11747.2
2015-02-01,11773.3
2015-03-01,11798.4
2015-04-01,11826.4
2015-05-01,11859.5
2015-06-01,11872.0
2015-07-01,11917.6
2015-08-01,11948.3
2015-09-01,11963.2
2015-10-01,11970.7
2015-11-01,11997.4
2015-12-01,12041.4
2016-01-01,12053.8
2016-02-01,12133.3
2016-03-01,12086.4
2016-04-01,12122.9
2016-05-01,12141.9
2016-06-01,12193.1
2016-07-01,12206.2
2016-08-01,12216.0
2016-09-01,12249.3
2016-10-01,12242.7
2016-11-01,12262.4
2016-12-01,12344.1
2017-01-01,12347.6
2017-02-01,12355.4
2017-03-01,12413.8
2017-04-01,12416.5
2017-05-01,12420.9
2017-06-01,12452.8
2017-07-01,12470.1
2017-08-01,12483.5
2017-09-01,12547.7
2017-10-01,12555.2
2017-11-01,12627.6
2017-12-01,12713.2
2018-01-01,12687.7
2018-02-01,12696.1
2018-03-01,12739.1
2018-04-01,12786.0
2018-05-01,12821.0
2018-06-01,12842.2
2018-07-01,12878.0
2018-08-01,12918.1
2018-09-01,12905.7
2018-10-01,12960.5
2018-11-01,13014.0
2018-12-01,12892.0
2019-01-01,12948.5
2019-02-01,12948.2
2019-03-01,13028.8
2019-04-01,13055.6
2019-05-01,13086.5
2019-06-01,13124.2
2019-07-01,13161.9
2019-08-01,13199.4
2019-09-01,13215.4
2019-10-01,13223.1
2019-11-01,13266.6
2019-12-01,13257.2
2020-01-01,13307.3
2020-02-01,13313.2
2020-03-01,12422.9
2020-04-01,10910.6
2020-05-01,11833.0
2020-06-01,12525.6
2020-07-01,12706.4
2020-08-01,12793.5
2020-09-01,12962.5
2020-10-01,13015.6
2020-11-01,12943.5
2020-12-01,12824.6
2021-01-01,13201.3
2021-02-01,13025.4
2021-03-01,13621.3
2021-04-01,13684.0
2021-05-01,13616.2
2021-06-01,13696.6
2021-07-01,13649.0
2021-08-01,13736.2
2021-09-01,13772.6
